modzcta,year_month,RentIndex,y_next,target_month
11414,2023-02,2675.139108881194,2695.575930453343,2023-03
11414,2023-03,2695.575930453343,2710.979783898155,2023-04
11414,2023-04,2710.979783898155,2735.2415886680774,2023-05
11414,2023-05,2735.2415886680774,2762.5546389739147,2023-06
11414,2023-06,2762.5546389739147,2789.3646393311765,2023-07
11414,2023-07,2789.3646393311765,2819.5730801954974,2023-08
11414,2023-08,2819.5730801954974,2828.2598947252754,2023-09
11414,2023-09,2828.2598947252754,2846.103668008608,2023-10
11414,2023-10,2846.103668008608,2802.526758409823,2023-11
11414,2023-11,2802.526758409823,2785.644843050115,2023-12
11415,2022-01,1912.9646077337263,1891.52274272016,2022-02
11415,2022-02,1891.52274272016,1862.881953629834,2022-03
11415,2022-03,1862.881953629834,1841.950019269678,2022-04
11415,2022-04,1841.950019269678,1904.5114198099952,2022-05
11415,2022-05,1904.5114198099952,1978.243959268105,2022-06
11415,2022-06,1978.243959268105,2031.3549694912151,2022-07
11415,2022-07,2031.3549694912151,2068.278248269568,2022-08
11415,2022-08,2068.278248269568,2079.187765928324,2022-09
